name,code,Region,district,address,contact_person,contact_phone,contact_email,is_active
"AHAFOMAN SENIOR HIGH/TECH SCHOOL",102,"Ahafo Region","ASUNAFO NORTH MUNICIPAL","GOASO",,,,True
"KUKUOM AGRIC SENIOR HIGH SCHOOL",103,"Ahafo Region","ASUNAFO SOUTH","KUKUOM",,,,True
"SANKORE SENIOR HIGH SCHOOL",104,"Ahafo Region","ASUNAFO SOUTH","SANKORE",,,,True
"GYAMFI KUMANINI SENIOR HIGH/TECH SCHOOL",105,"Ahafo Region","ASUTIFI NORTH","WAMAHINSO",,,,True
"OLA GIRLS SENIOR HIGH SCHOOL, KENYASI",106,"Ahafo Region","ASUTIFI NORTH","KENYASI",,,,True
"ACHERENSUA SENIOR HIGH SCHOOL",107,"Ahafo Region","ASUTIFI SOUTH","ACHERENSUA",,,,True
"HWIDIEM SENIOR HIGH SCHOOL",108,"Ahafo Region","ASUTIFI SOUTH","HWIDIEM",,,,True
"TERCHIRE SENIOR HIGH SCHOOL",109,"Ahafo Region","TANO NORTH","TERCHIRE",,,,True
"YAMFO ANGLICAN SENIOR HIGH SCHOOL",110,"Ahafo Region","TANO NORTH","YAMFO",,,,True
"SERWAA KESSE GIRLS SENIOR HIGH SCHOOL",111,"Ahafo Region","TANO NORTH",DUAYAW NKWANTA,,,,True
"BOAKYE TROMO SENIOR HIGH/TECH SCHOOL",112,"Ahafo Region","TANO NORTH",DUAYAW NKWANTA,,,,True
"BOMAA COMM. SENIOR HIGH SCHOOL",113,"Ahafo Region","TANO NORTH",BOMAA,,,,True
"DERMA COMM. DAY SENIOR HIGH SCHOOL",114,"Ahafo Region","TANO SOUTH",DERMA,,,,True
"SAMUEL OTU PRESBY SENIOR HIGH SCHOOL",115,"Ahafo Region","TANO SOUTH",TECHIMANTIA,,,,True
"BECHEM PRESBY SENIOR HIGH SCHOOL",116,"Ahafo Region","TANO SOUTH",BECHEM,,,,True
